gold,pred,time_sec,support,avg_time,var_time
χ,UNK,0.110000,1.000000,0.110000,0.000000
UNK,χ,0.110000,1.000000,0.110000,0.000000
h,a,0.026000,1.000000,0.026000,0.000000
h,i,0.027000,1.000000,0.027000,0.000000
a,s,0.007000,1.000000,0.007000,0.000000
i,b,0.009000,1.000000,0.009000,0.000000
d:,b,0.053000,1.000000,0.053000,0.000000
UNK,i:,0.100000,1.000000,0.100000,0.000000
b:,b:,0.160000,1.000000,0.160000,0.000000
b:,UNK,0.160000,1.000000,0.160000,0.000000
UNK,b:,0.160000,1.000000,0.160000,0.000000
g:,g:,0.140000,1.000000,0.140000,0.000000
g:,UNK,0.140000,1.000000,0.140000,0.000000
UNK,g:,0.140000,1.000000,0.140000,0.000000
a,ʁ,0.009000,1.000000,0.009000,0.000000
d,ʒ,0.044000,1.000000,0.044000,0.000000
t,ʃ,0.019000,1.000000,0.019000,0.000000
dˤ,i,0.028000,1.000000,0.028000,0.000000
