gold,pred,time_sec,support,avg_time,var_time
t:,g,0.050000,1.000000,0.050000,0.000000
l,s,0.041000,1.000000,0.041000,0.000000
l,a,0.006000,1.000000,0.006000,0.000000
ħ,a,0.013000,1.000000,0.013000,0.000000
n,ħ,0.010000,1.000000,0.010000,0.000000
m,a,0.002000,1.000000,0.002000,0.000000
ʃ,a,0.003000,1.000000,0.003000,0.000000
j,n,0.044000,1.000000,0.044000,0.000000
i,zˤ,0.013000,1.000000,0.013000,0.000000
n,r,0.016000,1.000000,0.016000,0.000000
s,r,0.006000,1.000000,0.006000,0.000000
i,s,0.002000,1.000000,0.002000,0.000000
z,l,0.007000,1.000000,0.007000,0.000000
t,d,0.040000,1.000000,0.040000,0.000000
t,a,0.011000,1.000000,0.011000,0.000000
u,m:,0.021000,1.000000,0.021000,0.000000
dz,t,0.090000,1.000000,0.090000,0.000000
dz,UNK,0.090000,1.000000,0.090000,0.000000
z,r,0.020000,1.000000,0.020000,0.000000
s,k:,0.020000,1.000000,0.020000,0.000000
kʷ:,a,0.022000,1.000000,0.022000,0.000000
j,l:,0.011000,1.000000,0.011000,0.000000
l:,d,0.025000,1.000000,0.025000,0.000000
f,k,0.014000,1.000000,0.014000,0.000000
n:,d,0.065000,1.000000,0.065000,0.000000
t,n:,0.017000,1.000000,0.017000,0.000000
l,i,0.006000,1.000000,0.006000,0.000000
w,i,0.026000,1.000000,0.026000,0.000000
dˤ,i,0.012000,1.000000,0.012000,0.000000
l:,dˤ,0.030000,1.000000,0.030000,0.000000
ʒ:,ʒ:,0.140000,1.000000,0.140000,0.000000
ʒ:,UNK,0.140000,1.000000,0.140000,0.000000
UNK,ʒ:,0.140000,1.000000,0.140000,0.000000
u,l,0.004000,1.000000,0.004000,0.000000
t,l,0.029000,1.000000,0.029000,0.000000
w,dˤ:,0.100000,1.000000,0.100000,0.000000
dˤ:,dˤ:,0.084000,1.000000,0.084000,0.000000
dˤ:,UNK,0.084000,1.000000,0.084000,0.000000
rˤ,dˤ:,0.016000,1.000000,0.016000,0.000000
UNK,dˤ:,0.200000,1.000000,0.200000,0.000000
rˤ,d,0.025000,1.000000,0.025000,0.000000
g,s,0.004000,1.000000,0.004000,0.000000
rˤ,dˤ,0.033000,1.000000,0.033000,0.000000
w,u,0.030000,1.000000,0.030000,0.000000
w,a,0.077000,1.000000,0.077000,0.000000
z:,t,0.130000,1.000000,0.130000,0.000000
ʒ,l,0.013000,1.000000,0.013000,0.000000
l,u,0.009000,1.000000,0.009000,0.000000
t,g,0.010000,1.000000,0.010000,0.000000
m,q:,0.015000,1.000000,0.015000,0.000000
k,ʁ,0.041000,1.000000,0.041000,0.000000
ʁ`,ʁ,0.120000,1.000000,0.120000,0.000000
ʁ`,UNK,0.120000,1.000000,0.120000,0.000000
d,j,0.001000,1.000000,0.001000,0.000000
d,m,0.010000,1.000000,0.010000,0.000000
g,m,0.060000,1.000000,0.060000,0.000000
z,a,0.020000,1.000000,0.020000,0.000000
d:,a,0.013000,1.000000,0.013000,0.000000
d:,q:,0.015000,1.000000,0.015000,0.000000
s,w,0.011000,1.000000,0.011000,0.000000
a,l,0.017000,1.000000,0.017000,0.000000
m:,u,0.030000,1.000000,0.030000,0.000000
m:,b,0.023000,1.000000,0.023000,0.000000
u,b,0.007000,1.000000,0.007000,0.000000
i,u,0.013000,1.000000,0.013000,0.000000
b,r,0.104000,1.000000,0.104000,0.000000
s,k,0.008000,1.000000,0.008000,0.000000
g,t,0.013000,1.000000,0.013000,0.000000
t,f,0.006000,1.000000,0.006000,0.000000
i,d:,0.008000,1.000000,0.008000,0.000000
k,i,0.024000,1.000000,0.024000,0.000000
r,g,0.006000,1.000000,0.006000,0.000000
a,i,0.042000,1.000000,0.042000,0.000000
ʕ,i,0.021000,1.000000,0.021000,0.000000
ʕ,z:,0.008000,1.000000,0.008000,0.000000
z:,z:,0.142000,1.000000,0.142000,0.000000
UNK,z:,0.150000,1.000000,0.150000,0.000000
ɡʷ:,g,0.010000,1.000000,0.010000,0.000000
ɡʷ:,ɡʷ,0.010000,1.000000,0.010000,0.000000
ɡʷ:,a,0.030000,1.000000,0.030000,0.000000
ɡʷ:,UNK,0.177000,1.000000,0.177000,0.000000
m,i,0.006000,1.000000,0.006000,0.000000
u,m,0.005000,1.000000,0.005000,0.000000
i,a,0.037000,1.000000,0.037000,0.000000
t,k:,0.020000,1.000000,0.020000,0.000000
a,k:,0.005000,1.000000,0.005000,0.000000
n:,i,0.042000,1.000000,0.042000,0.000000
t,s:,0.009000,1.000000,0.009000,0.000000
u,dˤ,0.009000,1.000000,0.009000,0.000000
g,k,0.030000,1.000000,0.030000,0.000000
n:,j,0.092000,1.000000,0.092000,0.000000
n,d,0.029000,1.000000,0.029000,0.000000
u,d:,0.006000,1.000000,0.006000,0.000000
g,ʒ,0.052000,1.000000,0.052000,0.000000
i,j,0.056000,1.000000,0.056000,0.000000
l,n,0.036000,1.000000,0.036000,0.000000
b,u,0.012000,1.000000,0.012000,0.000000
z,s,0.060000,1.000000,0.060000,0.000000
tˤ:,f,0.030000,1.000000,0.030000,0.000000
s,g,0.017000,1.000000,0.017000,0.000000
r:,a,0.030000,1.000000,0.030000,0.000000
r,u,0.010000,1.000000,0.010000,0.000000
b,d,0.085000,1.000000,0.085000,0.000000
k,r,0.007000,1.000000,0.007000,0.000000
sˤ,tˤ:,0.036000,1.000000,0.036000,0.000000
i,rˤ,0.013000,1.000000,0.013000,0.000000
r,s,0.019000,1.000000,0.019000,0.000000
t,ʃ,0.001000,1.000000,0.001000,0.000000
ʃ,t:,0.006000,1.000000,0.006000,0.000000
a,t:,0.006000,1.000000,0.006000,0.000000
a,b,0.010000,1.000000,0.010000,0.000000
b,n,0.007000,1.000000,0.007000,0.000000
ʕ,t,0.007000,1.000000,0.007000,0.000000
u,rˤ,0.038000,1.000000,0.038000,0.000000
ɡʷ,r:,0.030000,1.000000,0.030000,0.000000
