file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
common_voice_22_0_28195,0.0,1.5673,utt,-51.96233392217356,-51.936233043670654,1.4695939515568344,8.430666038155268
common_voice_22_0_26547,0.0,1.3346,utt,-50.57192052396616,-49.70240275065104,1.4695939515568344,13.990608483334569
common_voice_22_0_29633,0.0,0.99675,utt,-59.90291015625,-60.67961025238037,1.4695939515568344,14.11482690730714
common_voice_22_0_25295,0.0,1.2591875,utt,-50.92333209325397,-48.41279284159342,1.4695939515568344,7.664317483166642
common_voice_22_0_33846,0.0,2.4594,utt,-49.02315564659553,-58.92195657583383,1.4695939515568344,7.742321040748939
common_voice_22_0_11543,0.0,2.33225,utt,-58.05090279640558,-56.67752133882963,1.4695939515568344,11.048870027689196
common_voice_22_0_35995,0.0,0.8301875,utt,-54.4185688064759,-54.29164928860135,1.4695939515568344,11.884078329067815
common_voice_22_0_11200,0.0,1.7201,utt,-45.413506086482556,-44.92281105404808,1.4695939515568344,25.41026865499462
common_voice_22_0_6368,0.0,3.2766,utt,-50.10692763910061,-49.84650321628737,1.4695939515568344,7.17117004686115
common_voice_22_0_36168,0.0,1.0855,utt,-50.605455311066514,-49.76777305603027,1.4695939515568344,5.609543240105877
common_voice_22_0_12147,0.0,1.7771875,utt,-40.74941296523876,-40.651350724069694,1.4695939515568344,21.769594632250374
common_voice_22_0_10993,0.0,1.7671875,utt,-46.70220912782486,-47.033383802934125,1.4695939515568344,3.471584877600719
common_voice_22_0_19961,0.0,1.3994,utt,-54.332833426339285,-53.41801700592041,1.4695939515568344,21.846707541646445
common_voice_22_0_18455,0.0,1.3271875,utt,-48.45083411654135,-48.69344610916941,1.4695939515568344,16.163359979555594
common_voice_22_0_27902,0.0,1.4146875,utt,-53.089798731161345,-51.9354932308197,1.4695939515568344,29.037591175003115
common_voice_22_0_11922,0.0,1.3486,utt,-50.53571686921296,-50.15445073445638,1.4695939515568344,2.5577709121515753
common_voice_22_0_17883,0.0,1.88125,utt,-46.15629155585106,-45.69542839413597,1.4695939515568344,24.519613471513445
common_voice_22_0_29761,0.0,1.181,utt,-55.533472093485166,-55.204507681039665,1.4695939515568344,8.346969038023072
common_voice_22_0_29833,0.0,1.9411,utt,-45.3799331507732,-44.430954272930435,1.4695939515568344,12.27562942486752
common_voice_22_0_14123,0.0,1.5311875,utt,-52.19855494281046,-53.44229946136475,1.4695939515568344,28.443936494378622
common_voice_22_0_15163,0.0,1.3925,utt,-48.249525770008994,-47.18431282043457,1.4695939515568344,0.605401133152391
common_voice_22_0_10570,0.0,1.852875,utt,-47.97199113175676,-47.19205180081454,1.4695939515568344,14.552557331980516
common_voice_22_0_3410,0.0,2.0979,utt,-52.95733351934524,-53.062363197063576,1.4695939515568344,31.358443865902398
common_voice_22_0_36997,0.0,0.5825,utt,-54.29458091998922,-51.06285137600369,1.4695939515568344,13.855800113590604
common_voice_22_0_10672,0.0,1.7078,utt,-48.003580729166664,-48.15086465132864,1.4695939515568344,26.595487924720153
common_voice_22_0_10763,0.0,1.9978,utt,-45.4602685546875,-45.33094769432431,1.4695939515568344,25.058056160354408
common_voice_22_0_16748,0.0,1.5146,utt,-41.81342159043874,-40.973792182074654,1.4695939515568344,4.954171440510287
common_voice_22_0_35398,0.0,0.8905,utt,-50.94361723139045,-50.676480293273926,1.4695939515568344,12.52069661299284
common_voice_22_0_29332,0.0,1.2376,utt,-52.021917527721776,-52.89738506740994,1.4695939515568344,12.477583070745498
common_voice_22_0_36938,0.0,0.8065,utt,-51.472891348379626,-48.57279443740845,1.4695939515568344,7.332595789544859
common_voice_22_0_13513,0.0,1.60325,utt,-53.22355346679687,-51.25343377249582,1.4695939515568344,5.028185830065567
common_voice_22_0_15786,0.0,1.6408,utt,-43.09623011147104,-43.61172046661377,1.4695939515568344,18.397565596603222
common_voice_22_0_19230,0.0,1.4841875,utt,-54.156282991976354,-51.83589134216309,1.4695939515568344,5.596445809387971
common_voice_22_0_30205,0.0,1.007875,utt,-53.017679648824256,-53.069993082682295,1.4695939515568344,11.950649699333397
common_voice_22_0_37402,0.0,1.3422,utt,-58.40288668959888,-61.38624382019043,1.4695939515568344,9.004404295323877
common_voice_22_0_15103,0.0,1.482,utt,-50.707717483108105,-49.47231483459473,1.4695939515568344,13.77248343140019
common_voice_22_0_17784,0.0,1.4225625,utt,-48.989477882922536,-47.03262770803351,1.4695939515568344,2.818970809733468
common_voice_22_0_27575,0.0,1.0891875,utt,-49.653208321387616,-49.514238119125366,1.4695939515568344,11.23267468642678
common_voice_22_0_15381,0.0,2.1213,utt,-53.72124207694576,-49.18149606805099,1.4695939515568344,6.596737419066944
common_voice_22_0_10810,0.0,1.7966,utt,-46.59587131076389,-45.92349514208342,1.4695939515568344,19.0283548858788
common_voice_22_0_20996,0.0,1.2841875,utt,-48.6879768371582,-47.598150755229746,1.4695939515568344,14.063728335942525
common_voice_22_0_15168,0.0,1.4480625,utt,-47.44637998383621,-47.32072569194593,1.4695939515568344,-0.3804428821092998
common_voice_22_0_3898,0.0,1.9960625,utt,-57.79142578125,-55.56666405995687,1.4695939515568344,2.849541310165657
common_voice_22_0_28324,0.0,1.320875,utt,-52.76572857481061,-51.7762234210968,1.4695939515568344,6.793373607753836
common_voice_22_0_9597,0.0,2.3310625,utt,-45.18512774946352,-44.07326555252075,1.4695939515568344,3.9856035924268713
common_voice_22_0_31656,0.0,2.1339,utt,-48.46390386590375,-50.95357106526693,1.4695939515568344,10.833629420524844
common_voice_22_0_10511,0.0,1.4015,utt,-53.99871651785714,-52.650947952270506,1.4695939515568344,9.188913657911717
common_voice_22_0_38090,0.0,0.7109,utt,-55.64892921985035,-55.72740459442139,1.4695939515568344,6.93067869921188
common_voice_22_0_17786,0.0,1.481875,utt,-49.58357527449324,-48.899962977359166,1.4695939515568344,0.014936995288270083
common_voice_22_0_20828,0.0,1.2517,utt,-52.53119140625,-52.17859706878662,1.4695939515568344,12.427348553496316
common_voice_22_0_11016,0.0,1.4856875,utt,-52.870572698196305,-51.83240690685454,1.4695939515568344,16.65770651066851
common_voice_22_0_2980,0.0,2.2659,utt,-44.24531938325991,-45.11968106236951,1.4695939515568344,17.78433449767017
common_voice_22_0_13543,0.0,1.9946875,utt,-46.649811557788944,-45.740152449834916,1.4695939515568344,14.513385466605106
common_voice_22_0_31080,0.0,2.5916,utt,-46.11930275699807,-46.048443930489675,1.4695939515568344,17.523738072277798
common_voice_22_0_27571,0.0,1.1626,utt,-48.88790577855603,-49.19748128255208,1.4695939515568344,15.024251195697772
common_voice_22_0_23530,0.0,1.85975,utt,-52.300103956653224,-51.82904921637641,1.4695939515568344,9.58824610978657
common_voice_22_0_16474,0.0,2.09175,utt,-51.5960115131579,-51.3430422002619,1.4695939515568344,13.53005463733581
common_voice_22_0_33791,0.0,1.2131,utt,-51.498910446797524,-50.61643277681791,1.4695939515568344,13.80605837430014
common_voice_22_0_9595,0.0,1.8255625,utt,-56.78161287568306,-55.491240761496805,1.4695939515568344,7.746116670223714
common_voice_22_0_17790,0.0,1.6596,utt,-48.01332772496235,-47.332900546845934,1.469593918561655,24.125671104878204
common_voice_22_0_33540,0.0,1.161,utt,-47.64112169989224,-48.813180106026785,1.4695936875954005,12.533876538551999
common_voice_22_0_28097,0.0,1.3955625,utt,-55.239083426339285,-54.47591829299927,1.4695934236339667,12.610404435394209
common_voice_22_0_15528,0.0,1.4970625,utt,-47.86037434895833,-47.19790941126206,1.4695934236339667,3.137337368088396
common_voice_22_0_24534,0.0,2.0955,utt,-57.246907552083336,-54.327652650720935,1.4695934236339667,3.804797810851621
common_voice_22_0_11061,0.0,1.996,utt,-45.939443359375,-45.476450284322105,1.469592895711099,29.891480610480265
common_voice_22_0_8088,0.0,2.541875,utt,-54.568836122047244,-55.94664972478693,1.469592895711099,13.962638890977994
common_voice_22_0_16901,0.0,1.8636,utt,-53.599310105846776,-53.346194323371435,1.469592895711099,0.24215300377387372
common_voice_22_0_6115,0.0,2.3508,utt,-54.276874168882976,-54.30961243311564,1.469592895711099,15.24617202044257
common_voice_22_0_3894,0.0,2.4304,utt,-50.82307339891975,-50.55878224866144,1.469592895711099,7.406354458685426
common_voice_22_0_32606,0.0,2.2485625,utt,-57.96037326388889,-59.62302344185965,1.469592895711099,17.296713334113278
common_voice_22_0_29066,0.0,1.396375,utt,-56.26264997209822,-55.97408413887024,1.469592895711099,8.25411130594209
common_voice_22_0_1829,0.0,3.5000625,utt,-50.40167410714286,-50.58344056871202,1.469592895711099,17.604427681125436
